epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,51201.2,1.38195,2.20615,1.83595,0.01358,1.1052,0.58477,0.50431,0.51966,0.32258,0.593,0.4704,0.49099,0.28211,1.54667,2.53412,2.11127,0.02238,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,51997.7,1.38296,2.19559,1.8227,0.01344,1.09587,0.59868,0.49739,0.51913,0.32097,0.60776,0.47154,0.49077,0.28129,1.549,2.53208,2.10727,0.02245,0,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,52793.1,1.37789,2.19174,1.80904,0.01339,1.09455,0.59295,0.50558,0.5234,0.32344,0.57763,0.48825,0.49427,0.28205,1.54719,2.54106,2.10504,0.02251,0,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,53589.4,1.36869,2.17207,1.81211,0.013,1.08386,0.60435,0.49913,0.52668,0.32677,0.5924,0.4858,0.49876,0.2845,1.54233,2.54206,2.10009,0.02244,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,54386,1.36946,2.17579,1.78435,0.01319,1.06798,0.60083,0.51025,0.52743,0.32745,0.59788,0.48585,0.49987,0.28618,1.5429,2.53776,2.09475,0.02242,0,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,55183.6,1.36923,2.16115,1.77424,0.01305,1.05587,0.61111,0.50103,0.52824,0.3271,0.60245,0.48161,0.4989,0.285,1.54839,2.54218,2.09245,0.02253,0,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,55980.9,1.36047,2.14946,1.75646,0.01297,1.05508,0.59089,0.50736,0.52633,0.3279,0.5828,0.49054,0.49733,0.28499,1.5456,2.54589,2.09536,0.02242,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,56777.5,1.35954,2.14009,1.73597,0.01298,1.04073,0.59684,0.51604,0.52891,0.32958,0.59026,0.4957,0.49937,0.2869,1.54001,2.54496,2.10133,0.02229,0,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,57574.7,1.35755,2.13045,1.73166,0.01297,1.03782,0.59741,0.5159,0.52805,0.32811,0.58475,0.49805,0.49747,0.28521,1.53854,2.54643,2.10784,0.02222,0,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,58371.2,1.34841,2.11709,1.72676,0.01285,1.03049,0.60267,0.5146,0.52915,0.33031,0.58784,0.49658,0.49943,0.2866,1.53654,2.55352,2.10375,0.02213,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,59167.3,1.35036,2.13134,1.72384,0.0129,1.03089,0.60351,0.51147,0.53049,0.331,0.59209,0.49186,0.49943,0.28628,1.5421,2.55933,2.08991,0.02223,0,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,59963.9,1.33525,2.10106,1.71608,0.01274,1.01337,0.59983,0.51034,0.53003,0.33004,0.59021,0.48746,0.49771,0.28564,1.53882,2.5657,2.09139,0.02212,0,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,60760,1.33854,2.08002,1.68743,0.01266,1.00742,0.60854,0.51172,0.53259,0.33193,0.59386,0.49184,0.49943,0.2873,1.53598,2.56605,2.09228,0.0221,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,61557.3,1.32813,2.07573,1.67972,0.01264,0.99447,0.61333,0.51224,0.53233,0.33325,0.6005,0.49182,0.49933,0.28757,1.53129,2.56666,2.09622,0.02205,0,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,62353.8,1.3271,2.06244,1.66419,0.01263,0.99057,0.60278,0.51444,0.53086,0.33217,0.59909,0.48985,0.49742,0.28648,1.5352,2.57204,2.09375,0.0221,0,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,63149.8,1.32848,2.07146,1.65673,0.01266,0.98524,0.6086,0.51394,0.53269,0.33439,0.60032,0.49205,0.49934,0.28765,1.53356,2.57044,2.09014,0.02206,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,63946.5,1.31918,2.05349,1.64588,0.01249,0.96895,0.61464,0.51237,0.53498,0.33519,0.60001,0.49669,0.50341,0.28841,1.53697,2.57574,2.0845,0.02214,0,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,64744.2,1.31477,2.04457,1.62955,0.01239,0.975,0.62607,0.50447,0.53377,0.33538,0.60749,0.49061,0.50264,0.2886,1.53521,2.58062,2.08632,0.02213,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,65540.9,1.31593,2.04336,1.60955,0.01242,0.96229,0.61414,0.50986,0.5339,0.33492,0.60412,0.4896,0.50181,0.28814,1.5309,2.57921,2.0962,0.02207,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,66337,1.31362,2.03723,1.59672,0.01238,0.94854,0.61886,0.50604,0.53382,0.33557,0.61718,0.48568,0.5025,0.2881,1.53014,2.57674,2.09811,0.02201,0,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,67133.6,1.29306,2.01862,1.59395,0.01224,0.95206,0.62376,0.50296,0.53366,0.33565,0.60923,0.48969,0.5032,0.28862,1.53036,2.58615,2.09956,0.02205,0,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,67930.7,1.29984,2.00831,1.58142,0.01229,0.94695,0.62296,0.50635,0.53412,0.33501,0.60737,0.48922,0.50261,0.28842,1.53372,2.59385,2.09713,0.02214,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,68727.5,1.29847,2.01452,1.57013,0.0123,0.93717,0.61513,0.51427,0.53481,0.33597,0.60996,0.49357,0.50354,0.28855,1.53681,2.59061,2.09054,0.02216,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,69523.2,1.29518,1.99917,1.55336,0.01227,0.92726,0.61995,0.51269,0.5353,0.33723,0.60969,0.49397,0.50439,0.28972,1.53374,2.59059,2.09227,0.02207,0,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,70319.3,1.28912,1.98065,1.54091,0.01216,0.91611,0.61422,0.51467,0.53491,0.33653,0.60582,0.49769,0.50427,0.28901,1.5324,2.59591,2.09397,0.02208,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,71114.4,1.28406,1.98144,1.53415,0.01197,0.90261,0.62013,0.51746,0.53757,0.33756,0.61353,0.49459,0.50679,0.29006,1.53035,2.5975,2.09793,0.02203,0,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,71909.4,1.28087,1.96042,1.51225,0.01206,0.89862,0.62122,0.51966,0.53791,0.33723,0.60858,0.49999,0.50746,0.29015,1.52926,2.59276,2.10164,0.02198,0,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,72703.7,1.27509,1.95407,1.50761,0.01192,0.89227,0.62201,0.51802,0.53744,0.33797,0.61361,0.49705,0.50655,0.29029,1.53037,2.59825,2.10129,0.02197,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,73498.6,1.2738,1.94744,1.50392,0.01193,0.88058,0.63103,0.50883,0.53673,0.33793,0.61348,0.49324,0.50649,0.28979,1.52954,2.60049,2.103,0.02195,0,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,74293,1.26844,1.93309,1.49287,0.01183,0.87603,0.62583,0.51241,0.53638,0.33785,0.61194,0.49482,0.50558,0.28934,1.52626,2.60299,2.10839,0.02189,0,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,75088.6,1.26848,1.94062,1.47112,0.01182,0.87329,0.61961,0.51963,0.5355,0.33706,0.60585,0.50332,0.50484,0.28881,1.52463,2.60676,2.11152,0.02187,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,75883.3,1.26846,1.9181,1.43978,0.01182,0.85037,0.61822,0.51985,0.53614,0.33827,0.59917,0.50546,0.50586,0.29043,1.52466,2.61145,2.11108,0.02188,0,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,76680.8,1.25685,1.91938,1.45372,0.01162,0.86037,0.61961,0.51606,0.53518,0.33823,0.60267,0.50195,0.506,0.29044,1.52466,2.61335,2.11366,0.02184,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,77476.4,1.2544,1.90784,1.44977,0.01159,0.86191,0.62689,0.51499,0.53582,0.33814,0.60775,0.50095,0.50616,0.29023,1.52531,2.61493,2.11489,0.02187,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
